GeneSymbol	test
Zfp408	Zfp408
Zfp652	Zfp652
AU041133	AU041133
E430018J23Rik	E430018J23Rik
Zfp566	Zfp566
Zfp541	Zfp541
Zfp931	Zfp931
Gm14326	Gm14326
Gm14325	Gm14325
Gm14322	Gm14322
Gm14420	Gm14420
100043387	100043387
Gm14308	Gm14308
Gm14434	Gm14434
Gm14431	Gm14431
Gm14430	Gm14430
OTTMUSG00000016609	OTTMUSG00000016609
0610010B08Rik	0610010B08Rik
Gm6710	Gm6710
LOC100504325	LOC100504325
Gm8923	Gm8923
Gm4723	Gm4723
Gm4631	Gm4631
Gm14391	Gm14391
LOC664987	LOC664987
Zfp429	Zfp429
Zfp456	Zfp456
Gm14124	Gm14124
Gm14139	Gm14139
Zfp664	Zfp664
Prdm12	Prdm12
Gm8898	Gm8898
Zfp882	Zfp882
Gm4245	Gm4245
Zcchc4	Zcchc4
L3mbtl4	L3mbtl4
L3mbtl	L3mbtl
Gatad1	Gatad1
Gatad2b	Gatad2b
Zglp1	Zglp1
Rere	Rere
5730403B10Rik	5730403B10Rik
Litaf	Litaf
Pias4	Pias4
Zmiz1	Zmiz1
Rnf138	Rnf138
Pias2	Pias2
Pias3	Pias3
Zmiz2	Zmiz2
Nfxl1	Nfxl1
Spi1	Spi1
Cd74	Cd74
