;p_val;avg_logFC;clus6.mean;clus2.mean
Cdkn2d;0.00310704;0.202764664;0.292815405;0.09005074
Pcmt1;0.003195054;0.266594139;0.446028837;0.179434698
Sdf2l1;0.003214823;0.349667866;0.729465838;0.379797972
Arpc3;0.003251679;0.375816865;1.346834296;0.971017431
Fam46a;0.003256762;0.206682004;0.262466991;0.055784987
Sdcbp;0.003260674;0.333202009;0.821501785;0.488299776
Ddx27;0.003260999;-0.273412283;0.363618614;0.637030897
Tbl1x;0.003264742;-0.260218365;0.217979749;0.478198114
1190007I07Rik;0.0032736;-0.213335795;0.103999544;0.317335339
Oaz2;0.00332166;-0.260017751;0.186708711;0.446726462
Slc25a4;0.003362766;0.352716768;0.885757644;0.533040875
Prdx2;0.00356695;-0.358901285;0.946573524;1.30547481
Ndufc1;0.003572341;0.311973139;0.767381949;0.45540881
Rexo2;0.00359156;0.363700102;0.876216813;0.512516711
Aurkb;0.003603998;0.181935893;0.241800342;0.059864449
Mrpl33;0.003616589;0.381229828;1.310624843;0.929395015
Inpp4a;0.003692975;0.132482767;0.132482767;0
Gsn;0.00371503;0.269012606;0.391301123;0.122288517
Cwc25;0.003738987;-0.210772078;0.115428569;0.326200647
Gpr171;0.003801162;-0.265138796;0.215310235;0.480449031
Rrbp1;0.00384787;0.319371246;0.973827494;0.654456249
Actg1;0.003889938;0.200236609;2.846194091;2.645957482
Sp100;0.004129639;0.295787049;0.568526382;0.272739333
Psmb7;0.004145103;0.254696087;0.475963607;0.221267521
Tbcb;0.004193421;0.219333067;0.409435779;0.190102712
P2rx4;0.004219133;-0.264530445;0.246935725;0.511466169
Gabarap;0.004251342;0.327152525;0.901879363;0.574726839
Pold4;0.004267534;0.268616289;0.505259141;0.236642852
Tyms;0.004306036;0.210715049;0.283357784;0.072642735
Prdx5;0.004425428;0.35717017;0.854001682;0.496831512
Pkib;0.004454489;0.251605098;0.413947478;0.16234238
Lnp;0.004554525;0.129739596;0.129739596;0
Hmmr;0.00465754;0.15111133;0.1698221;0.01871077
Nudt19;0.004718024;-0.207088739;0.133582573;0.340671313
Spc24;0.004745317;0.259491531;0.390555723;0.131064191
Cyhr1;0.004791113;0.152303358;0.180989641;0.028686283
Kctd12;0.004793452;0.204630607;0.295025437;0.090394829
Klrb1f;0.005020237;0.220134228;0.359282667;0.139148439
Wbp1l;0.005056381;0.226843979;0.332101948;0.105257969
Arl4c;0.005183293;0.172750883;0.20234897;0.029598087
Med8;0.00519348;0.144749778;0.180706969;0.035957192
Hck;0.005237736;0.177919809;0.197180324;0.019260515
Dek;0.005334025;0.362359597;1.34458622;0.982226623
Anxa1;0.005393965;0.163011702;0.17852933;0.015517628
Tmem51;0.005500442;0.185519062;0.207234846;0.021715783
Ube2s;0.005566512;0.394330745;1.183651458;0.789320713
Myadm;0.005613368;0.136696617;0.136696617;0
Fam173b;0.005663718;0.151930062;0.171513222;0.01958316
Vsir;0.00569221;0.186630643;0.225861405;0.039230762
Epsti1;0.005916179;0.178766442;0.25148245;0.072716007
Ap1m1;0.005923196;0.166712184;0.217991644;0.05127946
Cdc42;0.006038928;0.330805708;1.352420539;1.021614831
Ifi27l2a;0.00610767;0.288097068;0.536853401;0.248756333
Tespa1;0.006177231;-0.147110229;0.074427906;0.221538135
Ctsb;0.006412318;0.214907659;0.417859836;0.202952177
Cox6a1;0.006439918;0.351775572;1.257368083;0.90559251
Anks1;0.006566907;-0.15280305;0.036896315;0.189699365
Fbxw4;0.006616649;-0.253322593;0.214234699;0.467557292
Toporsos;0.006824917;0.177060418;0.28514606;0.108085643
Kif23;0.00685813;0.150622254;0.1934654;0.042843147
Lamp1;0.006866703;0.228446226;0.414060401;0.185614176
Cd2ap;0.006882115;0.156382696;0.176133496;0.019750801
Rassf4;0.006885272;0.23891979;0.386563692;0.147643903
Pyhin1;0.006918655;0.151666854;0.195868623;0.04420177
Ass1;0.006931902;0.190047914;0.265967288;0.075919374
Tap2;0.006955364;-0.258324862;0.227038387;0.48536325
Nans;0.007001777;0.183228675;0.273671176;0.090442501
Cd47;0.007022424;-0.278507964;1.67134982;1.949857784
Myl6;0.007196914;0.341933927;2.152404189;1.810470263
Atp6v0b;0.007284965;0.328628824;0.964906923;0.636278099
Rad21;0.007294267;0.205959494;0.33048583;0.124526336
Cytip;0.00743521;0.167247736;0.193495494;0.026247758
H2-DMb1;0.007468981;0.223238726;0.339771604;0.116532878
Mycn;0.007482135;-0.175239782;0.060012923;0.235252705
Cntrl;0.007495887;0.23446012;0.409522374;0.175062254
Nusap1;0.007551348;0.186820689;0.265373937;0.078553248
mt-Nd2;0.0076665;0.273687988;0.598486543;0.324798555
Sdhaf2;0.007717616;0.150619693;0.18682941;0.036209717
Uhrf1;0.007737379;0.201319605;0.325948091;0.124628486
Mndal;0.00774358;0.250587219;0.469644777;0.219057558
Actr3;0.00777582;0.381115463;1.272190811;0.891075348
Lyn;0.007791346;0.192096555;0.340110171;0.148013616
Plp2;0.007807885;0.220963705;0.389685049;0.168721344
Rad51ap1;0.007923679;0.151270027;0.195231506;0.043961479
St8sia4;0.007947125;0.19283102;0.314624213;0.121793193
Evl;0.007970942;0.189209816;0.277589569;0.088379753
Ppp1r2;0.007970942;0.164446676;0.245508095;0.081061419
Nup153;0.008063778;0.152962427;0.197259083;0.044296656
Minos1;0.008154784;0.356360948;1.306656571;0.950295623
Pak1;0.008171115;0.269176972;0.474543654;0.205366682
Lyz2;0.008209867;0.362010817;0.446368469;0.084357652
Trim30a;0.008329138;0.207988264;0.355748721;0.147760457
Pigyl;0.008381058;0.169612654;0.233831202;0.064218548
Fen1;0.008422303;0.193569588;0.328665118;0.13509553
Fam105a;0.008495427;0.243505145;0.408588828;0.165083682
Arhgdia;0.008507766;0.307401864;0.811029973;0.503628109
Notch1;0.008594971;-0.20143069;0.124753243;0.326183933
Ly86;0.008733107;0.277465939;0.630056798;0.352590859
